umls_id,mondo_id
C0155197,1603
C0152226,1604
C1332884,1606
C0153831,1607
C1263901,1608
C0001824,1609
C0155237,1610
C0155238,1611
C0007282,1612
C0042568,1613
C0153844,1614
C0014493,1615
C0152066,1616
C0004691,1618
C0152061,1620
C0035022,1621
C0155198,1622
C0155199,1623
C0155807,1624
C0339594,1626
C0040261,1628
C0152084,1629
C0006123,1630
C0042560,1631
C0007771,1632
C0007688,1633
C1332560,1634
C1511199,1635
C0155189,1636
C0155191,1637
C0154290,1638
C0041782,1639
C0153219,1640
C0019919,1642
C0152135,1643
C0341692,1644
C0403414,1644
C0155620,1646
C0239295,1648
C0341109,1649
C0149523,1650
C0349551,1651
C1331544,1652
C0153598,1653
C0153603,1654
C0155380,1655
C0025164,1656
C0221777,1658
C0154830,1660
C0004606,1661
C1261331,1663
C0153993,1664
C0152944,1665
C0947939,1667
C0040451,1670
C0026684,1671
C0013369,1673
C0012814,1674
C0275911,1678
C1519926,1680
C0152954,1681
C0152953,1682
C1335310,1683
C0267963,1684
C0155147,1685
C0011876,1687
C0155303,1688
C0392494,1689
C0155148,1690
C0153486,1691
C0155089,1694
C0155193,1695
C1279621,1698
C0153246,1699
C0002888,1700
C0152945,1701
C1334356,1702
CN207064,1703
C1519921,1704
C0034902,1705
C0398676,1706
C0392077,1707
C0036205,1708
C1334067,1709
C0156218,1710
C0019151,1711
C0004945,1714
C0155108,1716
C0155106,1717
C0036416,1718
C0153218,1719
C0275662,1720
C0375381,1721
C0155156,1722
C0155155,1723
C0153484,1724
C0152460,1725
C0155496,1727
C0155498,1728
C0155497,1729
C0156279,1730
C1511106,1731
C1261278,1732
C0030469,1735
C0158948,1736
C0343312,1737
C0155506,1739
C0346366,1740
C0020502,1741
C0154945,1742
C1335339,1743
C0017605,1744
C0153995,1745
C0029128,1746
C0158315,1747
C0154980,1749
C0008370,1751
C0013240,1752
C0013537,1754
C0153478,1756
C0345672,1757
C1335342,1758
C0155078,1760
C0015702,1761
C0153477,1763
C0345668,1764
C0154759,1765
C0155243,1766
C0155244,1767
C0000774,1770
C0751101,1773
C0155357,1774
C0156087,1775
C0149525,1776
C0153191,1777
C0349502,1778
C1336943,1779
C1336902,1781
C0334485,1783
C0155617,1785
C0269047,1786
C0151731,1787
C0156195,1788
C1336047,1789
C0347446,1790
C0235815,1791
C0155234,1792
C0152227,1793
C0030759,1794
C0042548,1795
C0007947,1797
C0152093,1798
C0155362,1799
C0155361,1800
C0155360,1801
C0155460,1802
C0155461,1803
C0155353,1804
C0153549,1805
C1519931,1806
C0156370,1808
C0241593,1809
C0152181,1810
C0039613,1811
C0155183,1812
C0155174,1813
C0477355,1815
C0155355,1816
C0154946,1817
C0154733,1819
C0155505,1820
C0152025,1824
C0205874,1825
C0040249,1827
C0154735,1829
C0152194,1831
C0341108,1832
C0155287,1834
C0015469,1835
C0002453,1836
C0275654,1837
C0153192,1838
C1519850,1841
C1519847,1842
C0153994,1843
C1519860,1844
C1519856,1845
C1519853,1846
C0152258,1848
C0155261,1849
C0153553,1850
C0155229,1851
C0278805,1852
C0155150,1853
C0154916,1855
C0155747,1856
C0494040,1857
C0040213,1858
C0151482,1860
C0153495,1861
C0153496,1862
C0154948,1864
C0017606,1868
C0153621,1869
C0403414,1870
C0341689,1871
C0155379,1872
C0017407,1873
C0155507,1874
C0014488,1875
C0155734,1876
C0021360,1877
C0700588,1878
C0153445,1879
C0600327,1881
C0004659,1882
C0242645,1883
C1263898,1884
C2711750,1885
C1456248,1886
C0152079,1887
C1332268,1888
C1336044,1892
C1336045,1893
C1336049,1894
C0155301,1895
C0549423,1896
C0155516,1897
C4025836,1898
C0155582,1899
C5574711,1902
C0521515,1903
C0154762,1904
C0158304,1905
C0155373,1906
C0001126,1909
C0028817,1910
C0264324,1911
C0155805,1912
C0028960,1913
C0155354,1914
C0155285,1915
C0155391,1917
C0155233,1918
C0154850,1919
C0271454,1920
C0155441,1921
C0034223,1922
C0154863,1923
C0403608,1926
C0041954,1926
C0267924,1928
C0311273,1929
C0267917,1930
C0031052,1931
C0156393,1932
C0271633,1933
C0003892,1935
C0155356,1936
C0013426,1938
C0002989,1939
C0032241,1940
C0024536,1943
C0153121,1944
C0030568,1945
C0154209,1946
C0040150,1947
C0001360,1949
C0155135,1950
C0028425,1951
C0153637,1952
C0152250,1954
C0343084,1956
C0393851,1957
C0155520,1959
C0154191,1962
C0155440,1964
C0155090,1965
C0154947,1966
C0018055,1969
C0015634,1971
C0302362,1972
C1335128,1974
C0346352,1975
C0264746,1976
C1336876,1977
C0854921,1978
C0013288,1979
C0028064,1982
C0155123,1983
C1282977,1984
C0154839,1985
C0234668,1986
C0154669,1987
C0266878,1988
C0155964,1989
C1334569,1990
C1334566,1991
C0863024,1992
C1519233,1993
C0153479,1994
C1336039,1995
C0339572,1996
C0035851,1997
C0152112,1998
C0854214,2000
C0154157,2002
C0155504,2006
C0022893,2008
C0220769,2010
C0268583,2012
C0024221,2013
C0268340,2014
C0028968,2017
C0017563,2021
C0006840,2026
C0153206,2029
C0269062,2030
C0007527,2031
C0699790,2032
C0153437,2033
C1332867,2034
C0519037,2035
C0030846,2036
C0032226,2037
C3887461,2038
C0011630,2040
C0155194,2042
C0013592,2043
C0155195,2044
C0009451,2045
C0339904,2047
C0040034,2049
C0011581,2050
C1290011,2051
C0024205,2052
C0020617,2053
C1332492,2055
C0178421,2056
C1511317,2057
C1328385,2058
C0206713,2060
C1334252,2061
C1511320,2062
C1511284,2064
C1332477,2065
C1510795,2066
C0153550,2067
C0153551,2068
C0153554,2069
C0206094,2072
C1334612,2073
C0349621,2073
C0157770,2074
C0155907,2075
C0018816,2078
C0026857,2081
C0349631,2083
C0375200,2085
C0333992,2086
C0153467,2087
C0271080,2088
C0035326,2089
C1333371,2090
C0238197,2092
C0846967,2093
C0346360,2096
C0015464,2098
C3898472,2100
C1263899,2101
C0007971,2102
C0025162,2105
C0155519,2106
C0155515,2107
C0007115,2108
C0496842,2109
C0001630,2110
C1335307,2114
C0346648,2116
C1096346,2117
C0042075,2118
C0206640,2119
C0206695,2120
C0235880,2121
C0027813,2122
C0038220,2125
C4551691,2127
C0151295,2128
C0037305,2132
C0155561,2133
C0237873,2134
C3887709,2135
C0155177,2136
C0155176,2137
C0155178,2138
C0037072,2139
C0238519,2140
C1275254,2141
C1336945,2143
C0740394,2144
C2930619,2145
C0020619,2146
C1334618,2149
C0020655,2150
C0152210,2152
C0263518,2153
C0040921,2154
C0015556,2156
C1517116,2159
C1517121,2162
